=== SHEET: FIESTA===
KODE PRODUK & HARGA JUAL
No | Kode Produk | Nama Produk | Isi | Gr | Harga Jual
48 | 13010104 | 15 FS CHICKEN SAUSAGE 400GR | 15 | 400 | 41300
49 | 13010111 | 15 FS SOSIS BRATWURST 20X300GR | 20 | 300 | 42500
50 | 13010118 | 15 FIESTA RTG SAUSA 72X65GR | 72 | 65 | 6578
51 | 13010119 | 15 FIESTA RTG CHIK SPICY KOREA | 72 | 60 | 6578
52 | 13010120 | 15 FIESTA RTG CHIK S.CHEESY | 72 | 65 | 6578
53 | 13010121 | 15 FIESTA RTG CHIK BRATWUST | 72 | 65 | 6578
54 | 13010122 | 15FS RTG SAUSA WITH HOTLAVA 60 | 72 | 60 | 7343
55 | 13010123 | 15 FS RTG SAUSA WITH CHES LAVA | 72 | 60 | 7343
56 | 13010124 | FIESTA RTG SAUSAGE HICKORY 60 | 72 | 60 | 7343
57 | 13010125 | 15 FIESTA RTG SAUSA W MENTAI | 72 | 60 | 7343
58 | 13010501 | 15 CHAMP CHIKEN SAUSA 200X25 | 25 | 200 | 11125
59 | 13010502 | 15 CHAMP CHIKEN SAUSA 10X500GR | 10 | 500 | 24925
60 | 13010815 | 15 OKEY SOSIS BAKAR JUMBO 500G | 10 | 500 | 31700
61 | 13010817 | 15  OKEY SOSIS AYM KOM 20X500 | 20 | 500 | 24675
62 | 13012209 | 15 ASIMO SOSIS AYAM KOM 20X500 | 20 | 500 | 21325
63 | 13030502 | 15 CHAMP CHIKEN BALL 10X500GR | 10 | 500 | 29550
64 | 13070502 | 15 CHAMP BEEF SAUSAGE 375GR | 24 | 375 | 39125
65 | 15010101 | 15 FS FRENCH F SHOESTRING 500G | 12 | 500 | 19675
66 | 15010102 | 15 FS FRENCH F SHOESTRING 1000 | 12 | 1000 | 38625
67 | 15030101 | 15 FS FRENCH F CRINKLE 12X500G | 12 | 500 | 21700
68 | 15040101 | 15 FS FRENCH F COATED 500GX12 | 12 | 500 | 27115
69 | 16060113 | 15 FS CHIKEN SIOMAY 30X180G | 30 | 180 | 25625
70 | 16060114 | 15 FIESTA GYOZA 30X80 G NEW | 30 | 80 | 25625
71 | 16060119 | 15 FS RTG SIOMAY 54GX72 | 72 | 54 | 6578
72 | 18050102 | 15 FISTA RTG BAKSO KEJU | 72 | 60 | 6578
73 | 18050103 | 15 FIESTA RTG BAKSO BBQ 72X60G | 72 | 60 | 6578
74 | 18050104 | 15 RTG BEEF BALL W MENTAI LAV | 72 | 55 | 7343
75 | 18050105 | 15 RTG BEEF BALL W CHEESE LAV | 72 | 55 | 7343
76 | 21000135 | 15 FS RICE W POPB S.MATA 6X320 | 6 | 320 | 21350
77 | 21010104 | 15 FS BEEF RENDANGRICE 6X320G | 6 | 320 | 21350
78 | 21500101 | 15 FS CHIK SAUSA&C BALL PIZZA | 5 | 230 | 36225
79 | 21500102 | 15 FS CHEESY BEEF PIZZA 230G | 5 | 230 | 39350

=== SHEET: SHIFUDO ===
KODE PRODUK & HARGA JUAL
No | Kode Produk | Nama Produk | Isi | Kg | Harga
1 | O711676254 | SH BAKSO CUMI 20 X 500 GR | 20 | 500 | 23000
2 | O991556240 | SEAFOOD DORI STIK 200GRX20 | 20 | 200 | 26500
3 | 1551671298 | SH BAKSO IKAN 500GRX20 | 20 | 500 | 22500
4 | 1751675298 | SH BOLA UDANG 20X500GR | 20 | 500 | 23000
5 | 1751676298 | SH BAKSO UDANG 500GRX20 | 20 | 500 | 23000
6 | 1901676248 | SH OTAK2 10X500GR (NEW) | 10 | 500 | 23500
7 | 2481551304 | FS SARDEN SAUS CABAI 155GRX50 | 50 | 155 | 9500
8 | 5331551305 | FS MAKAREL SAUS CABAI 425GRX24 | 24 | 425 | 24000
9 | 8801556044 | FS EBY FRY 160GRX20 | 20 | 160 | 31000
10 | A622356079 | SH CUMI FLOWER IMITATION 1KGX10 | 10 | 1000 | 58000
11 | A641676079 | SH FISH ROLL 1KGX10 | 10 | 1000 | 48000
12 | A701676079 | SH FISH ROLL 500GRX20 | 20 | 500 | 24500
13 | A711676248 | SH CHIKUWA 1 KGX8 | 8 | 1000 | 55500
14 | A712356248 | SH CHIKUWA 1 KG PLABG SZ 125 GR | 8 | 1000 | 55500
15 | A721676240 | SH CHIKUWA SZ 25 16X500 GR | 16 | 500 | 28500
16 | A731676248 | SH CHIKUWA 500GRX16 SZ 12,5 | 16 | 500 | 28500
17 | A751676079 | SH CUMI FLOWER IMITATION 20X500GR | 20 | 500 | 30000
18 | A762356248 | SH SCALLOP 500GRX20 | 20 | 500 | 24500
19 | A792356248 | SH KUE IKAN PEDAS 500GRX20 | 20 | 500 | 29000
20 | A851676298 | SH BAKSO IKAN 20X250GR SZ 10 | 20 | 250 | 9000
21 | B191556249 | FS SHRIMP SIOMAY 180GRX20 | 20 | 180 | 22500
22 | B201676240 | SH FISH ROLL 250GRX25 | 25 | 250 | 12500
23 | B251679249 | SH DUMPLING MIX 20X200GR SZ18G | 20 | 200 | 13000
24 | B261556249 | SH SIOMAY JAMUR 180GRX20 | 20 | 180 | 17000
25 | B271676254 | SH BAKSO SALMON 500GR | 20 | 500 | 27000
26 | B281676240 | SH CHIKUWA 8X1 KG SZ 25 | 8 | 1000 | 55500
27 | B291676251 | SH NORI FISH STICK 20 X 500 GR | 20 | 500 | 26000
28 | B301676249 | SH DUMPLING CHEESE 20X500 | 20 | 500 | 27500
29 | B311676240 | SH FISH TOFU 20 X 500 GR | 20 | 500 | 23000
30 | B341671254 | SH BAKSO UDANG 20 X 200 GR | 20 | 200 | 10000
31 | B361676249 | SH DUMPLING CHICKEN  20X500GR | 20 | 500 | 27500
32 | B401676079 | SH STEAMBOAT | 20 | 500 | 30000
33 | B411676079 | SH STEAMBOAT WITH SAUS GOCHUJA | 20 | 500 | 30000
34 | B511676249 | SH DUMPLING SPICY CHEESE 500GR | 20 | 500 | 28500
35 | B521676079 | SH OTAK-OTAK IKAN SINGAPORE 1K | 10 | 1000 | 54000
36 | B531676079 | SH OTAK-OTAK SINGAPORE 500GR | 20 | 500 | 23500
37 | B581556249 | FS CRISPY SHRIMP NUGGET 20X450 | 20 | 450 | 37500
38 | B611676249 | SH  SIOMAY IKAN 20X500GR | 20 | 500 | 24500
39 | B621556370 | FS ODENG 20X500GR | 20 | 500 | 30500
40 | B681676079 | SH STEAMBOAT 20X250 GR | 20 | 250 | 15000
41 | B723006295 | FS FISH CAKE (ODENG) 10X500G | 10 | 500 | 30500
42 | B741556238 | FS MOZZA BALL 20X450GR | 20 | 450 | 38000
43 | B761676079 | SH DUMPLING MIX20X500GR | 20 | 500 | 27500
44 | B771676251 | SH CRAB STICK 20X500GR | 20 | 500 | 25000
45 | B781676254 | SH JAPANESE FISH CAKE 20X500G | 20 | 500 | 24000
46 | B791676266 | SH FLOWER TWISTER 20X500GR | 20 | 500 | 23500
47 | B801679327 | SH DUO TWISTER 20X500GR | 20 | 500 | 24000
48 | B811676254 | SH NUGGET 20X450GR SZ.15 | 20 | 450 | 29000
49 | B821676252 | SH NUGGET STICKIE 20X450GR | 20 | 450 | 29000
50 | B881679079 | SH STEAMBOAT SET 20X500 (TB) | 20 | 500 | 30000

=== SHEET: OKEFOOD ===
KODE PRODUK & HARGA JUAL
No | Kode Produk | Nama Produk | Isi | Kg | Harga
1 | IKN404 | 20 CRISPY MAKAREL FISH 20X500GR_x000D_ | 20 | 500 | 37500
2 | IKN413 | 20 CRISPY W.POMFRET 20X500GR | 20 | 500 | 37500
3 | IKN561 | 20 CRAB STICK ROLL 500GRX20 | 20 | 500 | 31800
4 | IKN562 | 20 FISH TOFU 500GRX20 | 20 | 500 | 31800
5 | IKN563 | 20 STUFFED FISH CAKE 500GRX20 | 20 | 500 | 31800
6 | IKN564 | 20 FISH STEAK 500GRX20 | 20 | 500 | 31800
7 | IKN565 | 20 FISH BALL 500GRX20 | 20 | 500 | 31800
8 | IKN566 | 20 GRILL FISH STICK 500GRX20 | 20 | 500 | 31800
9 | IKN567 | 20 FISH ROLL 500GRX20 | 20 | 500 | 31800
10 | IKN568 | 20 FLAT CRAB STEAK 500GRX20 | 20 | 500 | 31800
11 | IKN569 | 20 GRILLED FISH CAKE 500GRX20 | 20 | 500 | 31800
12 | KGB551 | 20 FRENCH SHOESTRING 2KGX6 | 6 | 2000 | 50000
13 | SMB310 | 20 MOUSE BANANA STEAM 20X180GR | 20 | 180 | 30000
14 | SMB313 | 20 WALNUT STEAM BUN 20X180GR | 20 | 180 | 30000
15 | SMB330 | 20 DURIAN STEAM BUN 20X240GR_x000D_ | 20 | 240 | 30000
16 | SMB369 | 20 ORANGE WITH CUSTARD 20X210GR | 20 | 210 | 30000
17 | SMB394 | 20 BROWN SUGAR STEAM16X510GR | 16 | 510 | 30000
18 | SMB434 | 20 STRAWBERRY STEAM 20X180GR | 20 | 180 | 30000
19 | SMB472 | 20 MIX FRUIT PLATTER  20X180GR | 20 | 180 | 30000
20 | SMB473 | 20 MILKY MOUSE SIRSAK  20X180GR | 20 | 180 | 30000
21 | SMB474 | 20 MANGOESTEEN 20X150GR | 20 | 150 | 30000
22 | TFR499 | 20 CUSTARD TARO BALLS 20X300GR | 20 | 300 | 29500
23 | TFR503 | 20 PUMKIN CAKE 20X300GR | 20 | 300 | 19345
24 | TFR504 | 20 CRISPY TARO ROLL 20X300GR | 20 | 300 | 24000
25 | TFR505 | 20 TARO BALLS 20X300GR | 20 | 300 | 29500
26 | TFR506 | 20 TARO S. POTATO BALLS 10X400G | 10 | 400 | 24000
27 | TFR507 | 20 FRIED TARO CAKE 20X300GR | 20 | 300 | 19345
28 | TFR516 | 20 TARO ROLLS 20X350GR | 20 | 350 | 29500
